agent_id,formation1_idx,formation2_idx,formation3_idx,formation4_idx,formation5_idx,formation6_idx,formation7_idx,formation8_idx,formation9_idx,formation10_idx
0,0,18,19,2,20,25,20,29,6,10
1,1,19,20,1,25,24,19,28,8,11
2,2,20,18,3,19,26,18,16,7,9
3,3,0,26,12,1,4,12,6,17,17
4,4,5,13,5,6,10,9,5,14,14
5,5,17,6,26,16,11,2,17,18,18
6,6,16,7,25,17,12,1,18,19,19
7,7,21,23,9,22,27,27,12,5,6
8,8,22,22,10,23,28,28,11,4,7
9,9,23,21,11,24,29,29,10,3,8
10,10,12,2,21,13,16,23,15,11,0
11,11,14,0,23,11,15,22,14,10,1
12,12,25,28,16,26,0,17,0,0,5
13,13,15,8,24,18,13,0,19,20,20
14,14,2,24,14,15,23,14,21,15,15
15,15,1,25,13,2,3,13,20,16,16
16,16,6,12,6,7,9,10,4,13,13
17,17,17,6,26,16,11,2,17,18,18
18,18,8,10,28,9,18,25,26,24,24
19,19,28,11,27,10,17,24,27,26,26
20,20,27,9,29,5,19,26,25,25,25
21,21,9,5,18,3,5,8,7,27,27
22,22,10,4,19,14,6,7,8,28,28
23,23,11,3,20,4,7,6,9,29,29
24,24,26,27,17,27,1,15,1,1,4
25,25,24,29,15,29,2,16,2,2,3
26,26,4,15,8,21,22,3,24,22,22
27,27,3,17,7,28,21,4,23,21,21
28,28,7,16,0,0,20,5,22,23,23
29,29,13,1,22,12,14,21,13,9,2
